word lemma
بسم سَمّ
الله اللَّه
الرحمن رَحْمٰن
الرحيم رَحِيم
الحمد حَمْد
لله اللَّه
رب رَبّ
العالمين عالَم
الرحمن رَحْمٰن
الرحيم رَحِيم
مالك مالِك
يوم يَوْم
الدين دِين
اياك إِيّا
نعبد عَبَّد
واياك إِيّا
نستعين ٱِسْتَعان
اهدنا اهدنا
الصراط صِراط
المستقيم مُسْتَقِيم
صراط صِراط
الذين الَّذِي
انعمت أَنْعَم
عليهم عَلَى
غير غَيْر
المغضوب مَغْضُوب
عليهم عَلَى
ولا لا
الضالين ضالّ
بسم سَمّ
الله اللَّه
الرحمن رَحْمٰن
الرحيم رَحِيم
الم آلَم
ذلك ذٰلِكَ
الكتاب كِتاب
لا لا
ريب رَيْب
فيه فِي
هدي هَدْي
للمتقين مُتَّقِي
الذين الَّذِي
يؤمنون آمَن
بالغيب غائِب
ويقيمون أَقام
الصلاة صَلاة
ومما مِن
رزقناهم رَزَق
ينفقون أَنْفَق
والذين الَّذِي
يؤمنون آمَن
بما ما
انزل أَنْزَل
اليك إِلَى
وما ما
انزل أَنْزَل
من مِن
قبلك قَبِل
وبالاخرة آخِرَة
هم هُم
يوقنون يوقنون
اولئك أُولائِكَ
علي عَلَى
هدي هَدْي
من مِن
ربهم رَبّ
واولئك أُولائِكَ
هم هُم
المفلحون مُفْلِح
ان أَنَّ
الذين الَّذِي
كفروا كَفَّر
سواء سَواء
عليهم عَلَى
اانذرتهم اانذرتهم
ام أَم
لم لَم
تنذرهم أَنْذَر
لا لا
يؤمنون آمَن
ختم خَتَم
الله اللَّه
علي عَلَى
قلوبهم قَلْب
وعلي عَلِيّ
سمعهم سَمِع
وعلي عَلِيّ
ابصارهم أَبْصار
غشاوة غِشاوَة
ولهم لِ
عذاب عَذاب
عظيم عَظِيم
ومن مِن
الناس ناس
من مِن
يقول قال
امنا أَمْن
بالله اللَّه
وباليوم يَوْم
الاخر آخَر
وما ما
هم هُم
بمؤمنين مُؤْمِن
يخادعون خادَع
الله اللَّه
والذين الَّذِي
امنوا أَمَّن
وما ما
يخدعون خَدَع
الا إِلّا
انفسهم نَفْس
وما ما
يشعرون شَعَر
في فِي
